"","UserID","Gender","max_stakes","mean_stakes","mean_bets","mean_winnings","LOS","Continent"
"1",1324360,0,4,4,4,2,240,"Asia"
"2",1324363,0,104,78,46.33,60.5,224,"Europe"
"3",1324368,0,364.5,231.75,163.5,212.75,41,"Europe"
"4",1324369,0,618,152,120.6,148.4,217,"Asia"
"5",1324372,0,16.57,9.29,12,9.04,29,"Europe"
"6",1324377,0,15,15,2,4,180,"Europe"
"7",1324379,0,245.93,84.14,35.42,78.2,161,"Europe"
"8",1324383,0,3334,1382.38,42,1223.12,114,"Europe"
"9",1324386,1,248.31,89.63,45.33,74.86,50,"Europe"
"10",1324400,0,83.94,52.81,334.75,43.58,205,"Europe"
"11",1324405,0,72.09,16.04,15.14,15.88,61,"Europe"
"12",1324408,0,1862.44,286.5,86.36,258.09,217,"Europe"
"13",1324418,0,1.15,1.15,1,1.15,228,"Asia"
"14",1324432,0,19.63,7.98,5.75,4.99,242,"Asia"
"15",1324437,0,643.17,154.15,44.33,129.88,233,"Asia"
"16",1324454,1,283.54,70.12,41.12,52.75,208,"Europe"
"17",1324466,0,101,37.62,34,33.25,102,"Europe"
"18",1324492,0,63.19,34.61,33,21.61,222,"Europe"
"19",1324495,0,90,82.5,5.5,56.25,201,"Europe"
"20",1324503,0,2191,403.45,25.29,388.29,97,"Europe"
"21",1324509,0,234.5,234.5,221,205.5,242,"Europe"
"22",1324527,1,53.75,53.75,9,53.78,51,"Asia"
"23",1324533,0,67,21.2,20,17.1,229,"Europe"
"24",1324537,0,387,148.8,94.8,137.1,235,"Europe"
"25",1324540,0,36,36,15,23,242,"Europe"
"26",1324583,0,52.42,52.42,8,28.22,242,"Europe"
"27",1324586,0,144,144,102,122,238,"Europe"
"28",1324591,0,119,36.7,22.9,34.4,9,"Asia"
"29",1324607,0,23731,18689.25,673.5,18053,235,"Asia"
"30",1324615,0,880,300.25,120.67,259,192,"Europe"
"31",1324624,0,230,89.25,57.2,73.92,225,"Europe"
"32",1324625,0,84,84,17,54,226,"Europe"
"33",1324644,0,45.29,45.29,12,17.29,134,"Europe"
"34",1324651,0,77,77,12,47.5,242,"Europe"
"35",1324662,0,1,1,1,0,113,"Asia"
"36",1324675,0,1469,597.8,15,555,221,"Europe"
"37",1324708,1,3.3,0.98,2.09,0.81,115,"Europe"
"38",1324713,0,11,11,11,11.5,241,"Europe"
"39",1324732,0,195,131.5,259.5,121.5,240,"Europe"
"40",1324739,0,24.75,24.75,13,15.7,230,"Europe"
"41",1324749,0,1310,242.5,32.78,244.72,166,"Europe"
"42",1324752,0,16359.81,5041.99,596.75,4667.99,227,"Europe"
"43",1324757,0,71.5,71.5,14,11.55,234,"Europe"
"44",1324782,0,8,5.75,6.5,1.78,226,"Europe"
"45",1324786,0,8.25,8.25,33,8.25,56,"Europe"
"46",1324803,0,2087.76,350.36,216.23,324.86,35,"Asia"
"47",1324808,0,517.49,517.49,522,482.99,101,"Europe"
"48",1324840,0,5030,871.48,66.8,847.02,221,"Europe"
"49",1324844,0,201,201,201,184.5,242,"Asia"
"50",1324850,0,278.5,188.88,3,173.51,237,"Europe"
"51",1324851,0,250,142.5,100,140,240,"Europe"
"52",1324858,0,575,347.5,1,258,235,"Europe"
"53",1324866,1,1.5,0.81,3.5,0.68,80,"Europe"
"54",1324868,1,843.92,456.84,68,369.74,149,"Asia"
"55",1324883,0,152.5,35.32,58.76,22.95,231,"Europe"
"56",1324888,0,239,50.88,33,46.04,16,"Europe"
"57",1324890,0,184,69.25,145.33,58.67,238,"Europe"
"58",1324935,0,8372,1079.52,47.3,1045.93,37,"Asia"
"59",1325002,0,180,94.5,45,83,211,"Europe"
"60",1325011,0,40,40,2,34,242,"Europe"
"61",1325024,1,3.2,2.13,1,1.76,147,"Others"
"62",1325025,0,33.5,33.5,30,19,208,"Asia"
"63",1325027,0,398,229.83,83.67,214.35,97,"Europe"
"64",1325029,0,1012,516,104,492.5,128,"Europe"
"65",1325045,0,757,757,9,726,242,"Europe"
"66",1325062,0,81.5,81.5,21,54.5,242,"Asia"
"67",1325077,1,3.2,1.85,1,1.69,236,"Europe"
"68",1325080,0,427,122.05,23.38,93.49,169,"Europe"
"69",1325103,0,85,39.4,38.2,31,230,"Europe"
"70",1325106,0,17.45,12.98,8.67,13.01,154,"Europe"
