"","UserID","Gender","Casino_max_stakes","Casino_mean_bets","Casino_mean_Stakes","Casino_mean_Winnings","Casino_Recency_bet","Continent"
"1",1324360,1,4,4,4,2,0,"Asia"
"2",1324363,1,104,46.33,78,60.5,0,"Europe"
"3",1324368,1,364.5,163.5,231.75,212.75,0,"Europe"
"4",1324369,1,618,120.6,152,148.4,0,"Asia"
"5",1324372,1,2,12,2,2,0,"Europe"
"6",1324377,1,15,2,15,4,0,"Europe"
"7",1324379,1,0.45,1,0.45,0,0,"Europe"
"8",1324383,1,3334,42,1382.38,1223.12,0,"Europe"
"9",1324386,1,158,31.7,37.37,33.18,0,"Europe"
"10",1324400,1,83.94,334.75,52.81,43.58,0,"Europe"
"11",1324405,1,1.4,8.67,0.87,0.47,0,"Europe"
"12",1324408,1,1862.44,86.36,286.5,258.09,151,"Europe"
"13",1324432,1,1,1,1,0,0,"Asia"
"14",1324466,1,101,34,37.62,33.25,0,"Europe"
"15",1324492,0,22.5,24,22.5,17.5,0,"Europe"
"16",1324495,1,90,5.5,82.5,56.25,0,"Europe"
"17",1324503,1,2191,25.29,403.45,388.29,0,"Europe"
"18",1324509,1,234.5,221,234.5,205.5,0,"Europe"
"19",1324527,1,53.75,9,53.75,53.78,0,"Asia"
"20",1324533,1,67,20,21.2,17.1,0,"Europe"
"21",1324537,1,387,94.8,148.8,137.1,0,"Europe"
"22",1324540,0,36,15,36,23,0,"Europe"
"23",1324583,0,7,7,7,1,0,"Europe"
"24",1324586,1,144,102,144,122,0,"Europe"
"25",1324591,1,119,22.9,36.7,34.4,0,"Asia"
"26",1324607,0,23731,673.5,18689.25,18053,0,"Asia"
"27",1324615,1,880,119.5,300.25,259,0,"Europe"
"28",1324624,1,230,23.67,89.25,73.92,0,"Europe"
"29",1324625,1,84,17,84,54,0,"Europe"
"30",1324651,1,77,12,77,47.5,0,"Europe"
"31",1324675,1,1469,15,597.8,555,0,"Europe"
"32",1324713,0,11,11,11,11.5,0,"Europe"
"33",1324739,1,24.75,13,24.75,15.7,0,"Europe"
"34",1324749,1,1310,32.78,242.5,244.72,0,"Europe"
"35",1324752,1,16359.81,596.75,5041.99,4667.99,0,"Europe"
"36",1324786,1,8.25,33,8.25,8.25,0,"Europe"
"37",1324808,1,14,26,7,4.62,0,"Europe"
"38",1324840,1,5030,66.8,871.48,847.02,0,"Europe"
"39",1324844,1,201,201,201,184.5,0,"Asia"
"40",1324850,1,278.5,3,188.88,173.51,0,"Europe"
"41",1324851,1,250,100,142.5,140,0,"Europe"
"42",1324858,1,575,1,347.5,258,0,"Europe"
"43",1324883,1,40,37.2,23,9.4,0,"Europe"
"44",1324888,1,239,33,50.88,46.04,0,"Europe"
"45",1324890,0,89.1,145.33,60.78,46.8,0,"Europe"
"46",1324935,1,8372,47.3,1079.52,1045.93,0,"Asia"
"47",1325002,1,180,45,94.5,83,0,"Europe"
"48",1325011,1,40,2,40,34,0,"Europe"
"49",1325025,1,33.5,30,33.5,19,0,"Asia"
"50",1325027,0,398,83.67,229.83,214.35,0,"Europe"
"51",1325029,0,1012,104,516,492.5,0,"Europe"
"52",1325045,0,757,9,757,726,0,"Europe"
"53",1325062,1,81.5,21,81.5,54.5,0,"Asia"
"54",1325080,0,149,9.58,46.67,40.71,0,"Europe"
"55",1325103,1,85,38.2,39.4,31,0,"Europe"
"56",1325106,1,7,2.5,5,2.5,0,"Europe"
"57",1325144,1,14,2,14,10,0,"Americas"
"58",1325148,1,13,4,13,0,0,"Europe"
"59",1325158,1,5241.5,273,3138.25,3334.5,0,"Europe"
"60",1325159,1,34,20.5,20.5,17.83,0,"Asia"
"61",1325161,0,397,6.46,100.38,99.12,70,"Europe"
"62",1325165,1,6612.33,328.32,909.43,833.82,0,"Europe"
"63",1325170,1,12.5,3,12.5,0,0,"Europe"
"64",1325187,1,57.25,4.25,26.06,20.18,48,"Europe"
"65",1325189,1,7765.4,40.06,802,732.4,97,"Europe"
"66",1325190,1,20,10,13.33,9,0,"Europe"
"67",1325215,0,348,132.5,178.5,172.5,0,"Europe"
"68",1325218,1,8,4.5,6.5,3,0,"Europe"
"69",1325237,1,145,19.42,48.5,46.25,0,"Europe"
"70",1325253,1,302.5,60.75,127.12,127.25,0,"Asia"
"71",1325257,0,15,3,15,30,0,"Europe"
"72",1325273,1,81.08,19,48.66,105.92,0,"Europe"
"73",1325301,1,11,7.75,6.31,4.44,0,"Asia"
"74",1325313,1,8452,233.89,3253.11,3119.44,0,"Europe"
"75",1325318,1,9617,58.77,953.41,923.14,0,"Europe"
"76",1325333,0,10,2,10,0,0,"Europe"
"77",1325337,0,80,4.05,36.27,28.16,80,"Europe"
"78",1325345,1,31,12,21.67,12.67,0,"Europe"
"79",1325353,1,167.25,4.17,79.79,74.25,0,"Europe"
"80",1325367,1,1098.97,1317.55,294.7,277.63,0,"Asia"
"81",1325381,0,8402.04,57.75,926.49,874.09,9,"Europe"
"82",1325386,1,4299.5,107.2,1298.3,1201,0,"Europe"
"83",1325427,1,288.5,177,235.17,213,0,"Europe"
"84",1325431,1,5,3,5,6,0,"Europe"
"85",1325433,0,9519.63,438.75,3432.95,3500.9,0,"Europe"
"86",1325452,1,47,47,47,37,0,"Europe"
"87",1325453,1,429.95,7.5,388.48,342.39,0,"Europe"
"88",1325465,1,23288.83,178.15,6494.24,6368.13,218,"Europe"
"89",1325472,1,67,39,67,53,0,"Europe"
"90",1325478,1,445.75,5,445.75,399,0,"Europe"
"91",1325490,1,2,2,2,0,0,"Asia"
"92",1325492,1,13810.59,1197.02,5110.9,4294.58,17,"Europe"
"93",1325496,1,102.5,14,102.5,90,0,"Europe"
"94",1325505,1,584,80.67,214,203,0,"Europe"
"95",1325527,0,409,78.4,334.25,283.85,0,"Europe"
"96",1325542,1,283,1.33,98.75,65.1,0,"Europe"
"97",1325561,1,3,3,3,0,0,"Europe"
"98",1325569,1,6,6,6,2,0,"Europe"
"99",1325590,1,2590.94,179,2590.94,2390.94,22,"Europe"
"100",1325601,1,259,45,259,240.5,240,"Europe"
"101",1325610,1,6930,8.5,3602.5,2817.5,0,"Europe"
"102",1325628,1,54,38,52.5,40.25,0,"Europe"
"103",1325647,1,187.5,25,85.5,55.33,0,"Europe"
"104",1325654,1,3.25,3,3.25,4,0,"Europe"
"105",1325655,1,1188.5,17.33,583.5,545.33,45,"Europe"
"106",1325664,1,119.5,3.59,45,35.92,0,"Europe"
"107",1325666,1,15,1,15,12,0,"Europe"
"108",1325671,1,5524.5,3,5524.5,4800,0,"Europe"
"109",1325682,1,136830,364.26,17025.37,17090.51,0,"Europe"
"110",1325694,1,2,2,2,2.5,0,"Asia"
"111",1325702,1,112,2,112,112,0,"Europe"
"112",1325740,1,3271,34.04,401.55,372.29,0,"Europe"
