"","UserID","Gender","Supertoto_max_stakes","Supertoto_mean_Bets","Supertoto_mean_Stakes","Supertoto_mean_Winnings","Recency_bet_supertoto","Continent"
"1",1324386,1,3.2,1.4,0.92,0.76,50,"Europe"
"2",1324454,1,11.4,1.6,3.21,2.65,208,"Europe"
"3",1324527,1,5.5,2,5.5,4.54,51,"Asia"
"4",1324708,1,3.3,2.09,0.98,0.81,115,"Europe"
"5",1324866,1,1.5,3.5,0.81,0.68,80,"Europe"
"6",1324868,1,0.1,1,0.1,0.08,149,"Asia"
"7",1325024,1,3.2,1,2.13,1.76,147,"Others"
"8",1325027,0,6.4,0.91,2.22,1.89,36,"Europe"
"9",1325077,1,3.2,1,1.85,1.69,236,"Europe"
"10",1325080,0,28.8,0.8,10.06,8.3,146,"Europe"
"11",1325337,0,7.2,1,3.56,3.04,1,"Europe"
"12",1325491,1,5.4,38.75,3.88,3.2,208,"Europe"
"13",1325543,1,25.6,1,20.27,16.72,225,"Europe"
"14",1325619,1,10.8,1,2.42,2.02,4,"Europe"
"15",1325703,0,4,1.43,1.8,1.49,183,"Europe"
"16",1325706,1,0.8,1,0.8,0.66,100,"Asia"
"17",1325824,1,1.6,0.67,0.57,0.47,159,"Europe"
"18",1326014,1,0.1,1,0.1,0.08,218,"Europe"
"19",1326037,1,0.8,1,0.8,0.66,203,"Europe"
"20",1326070,1,0.5,1,0.5,0.41,19,"Europe"
"21",1326085,1,0.1,1,0.1,0.09,32,"Europe"
"22",1326427,1,0.1,1,0.1,0.08,113,"Europe"
"23",1326429,1,1.2,1,1.2,1.11,241,"Europe"
"24",1326452,1,73.1,22.9,16.84,13.89,36,"Europe"
"25",1326564,0,0.2,1.5,0.15,0.12,133,"Europe"
"26",1326592,1,25.6,0.94,9.93,8.28,8,"Europe"
"27",1326709,1,0.5,2,0.47,0.38,214,"Europe"
"28",1326781,1,0.5,1,0.5,0.41,234,"Europe"
"29",1326788,0,1,1,1,0.82,3,"Europe"
"30",1326861,1,12.8,1,9.6,7.92,229,"Europe"
"31",1326900,1,2,1,2,1.65,180,"Asia"
"32",1326907,1,0.5,1,0.38,0.31,9,"Europe"
"33",1326919,1,1.6,1.5,0.9,0.74,191,"Asia"
"34",1326977,1,0.5,1,0.5,0.41,235,"Europe"
"35",1327015,1,2,1,1.06,0.87,156,"Europe"
"36",1327120,1,2.2,3.5,1.9,1.65,203,"Asia"
"37",1327179,1,14.4,1,3.67,3.03,82,"Europe"
"38",1327245,1,4.8,2.75,3.27,2.83,7,"Europe"
"39",1327258,1,7.2,1.65,2.22,1.86,10,"Europe"
"40",1327333,1,0.5,1,0.5,0.41,207,"Europe"
"41",1327419,1,32,0.87,9.02,7.48,39,"Europe"
"42",1327561,1,1.6,13,1.3,1.07,210,"Europe"
"43",1327584,1,0.2,1,0.2,0.16,177,"Europe"
"44",1327695,1,0.5,1.3,0.18,0.15,56,"Europe"
"45",1327714,1,4,1,4,3.3,3,"Europe"
"46",1327755,1,6,1,5.2,4.29,17,"Europe"
"47",1327904,1,0.1,1,0.1,0.09,10,"Asia"
"48",1327920,1,2,4,2,1.65,238,"Europe"
"49",1327922,1,0.2,2,0.2,0.16,240,"Europe"
"50",1328028,1,4,1.5,3.25,2.68,185,"Europe"
"51",1328083,1,3.2,0.9,1.31,1.14,5,"Europe"
"52",1328130,1,0.5,1,0.5,0.41,24,"Europe"
"53",1328184,1,0.1,1,0.1,0.08,231,"Europe"
"54",1328285,1,0.1,1,0.1,0.09,239,"Europe"
"55",1328337,1,15.5,1.89,2.86,2.38,27,"Europe"
"56",1328386,1,25.6,1.11,2.79,2.32,2,"Europe"
